Band,Song,Player,Technique,Difficulty,Score
The Beatles,Blackbird,Paul McCartney,"['Guitar', 'Acoustic Guitar (nylon)']",Intermediate,3/8
Isaac Albéniz,Asturias,Ýz 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
AC/DC,Back In Black,Angus Young (Lead),['Distortion Guitar'],Intermediate,3/8
Pachelbel,Canon in D Major,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
Led Zeppelin,"Babe, I'm Gonna Leave You",Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8
Jimi Hendrix,Little Wing,Jimi Hendrix,['Electric Guitar (jazz) 1'],Intermediate,5/8
Pink Floyd,Shine On You Crazy Diamond,David Gilmour,['Overdriven Guitar'],Beginner,2/8
Kansas,Dust In The Wind,nan,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
Francisco Tarrega,Capricho Arabe,nan,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8
Pachelbel,Canon In C,nan,['Acoustic Guitar (nylon)'],Beginner,1/8
Frank Sinatra,Fly Me To The Moon,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,3/8
Marilyn Manson,Sweet Dreams,Daisy Berkowitz,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
Van Halen,Panama,Edward Van Halen,['Distortion Guitar'],Intermediate,4/8
Johnny Cash,Hurt,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Metallica,Nothing Else Matters,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8
Kaare Norge,Nocturne Op. 9 No. 2,nan,"['Acoustic Guitar (nylon)', 'Classical Guitar']",Intermediate,5/8
Dire Straits,Sultans Of Swing,Mark Knopfler,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
Papa Roach,Last Resort,Jerry Horton,['Distortion Guitar'],Intermediate,4/8
Metallica,Orion,nan,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
Slash,Anastasia,Slash,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
Red Hot Chili Peppers,Scar Tissue,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
Linkin Park,Numb,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Lynyrd Skynyrd,Sweet Home Alabama,Ed King ,['Electric Guitar (clean)'],Beginner,2/8
Slash,The Godfather Theme,SLASH,['Distortion Guitar'],Intermediate,4/8
Ozzy Osbourne,Crazy Train,nan,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8
Yiruma-Shunga Jung Fingerstyle,River flows in you-Yiruma,nan,['Acoustic Guitar (nylon)'],Intermediate,3/8
Megadeth,Hangar 18,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
Van Halen,Eruption,nan,"['Distortion Guitar', 'Guitar Effects']",Advanced,7/8
Led Zeppelin,Stairway To Heaven,Jimmy Page (Solo),['Overdriven Guitar'],Intermediate,5/8
Theme Songs,Pirates Of The Caribbean,nan,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Black Sabbath,Iron Man,Tony Iommi,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Dick Dale,Misirlou,nan,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8
Ed Sheeran,I See Fire,nan,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8
Megadeth,Symphony Of Destruction,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
Ludwig Van Beethoven,Moonlight Sonata,nan,['Acoustic Guitar (nylon)'],Intermediate,4/8
Guns N' Roses,Don't Cry,nan,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,3/8
AC/DC,You Shook Me All Night Long,Angus Young,['Distortion Guitar'],Intermediate,3/8
Mason Williams,Classical Gas,Mason Williams,['Acoustic Guitar (steel)'],Intermediate,3/8
JerryC,Canon Rock,Lead,['Distortion Guitar'],Intermediate,5/8
Muse,Psycho,nan,"['Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8
Megadeth,Holy Wars... The Punishment Due,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
Megadeth,Tornado Of Souls,Marty Friedman,['Distortion Guitar'],Intermediate,4/8
Slayer,Raining Blood,Kerry King,['Distortion Guitar'],Intermediate,5/8
Slayer,Angel Of Death,Jeff Hanneman,['Distortion Guitar'],Advanced,6/8
Slipknot,Psychosocial,Mick T.,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Blind Guardian,The Bards Song,Acoustic 1,['Acoustic Guitar (steel)'],Beginner,2/8
Red Hot Chili Peppers,Can't Stop,John Frusciante,['Overdriven Guitar'],Intermediate,3/8
Gary Moore,The Loner,Lead,['Distortion Guitar'],Intermediate,3/8
Sungha Jung,Howls Moving Castle,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Children Of Bodom,Are You Dead Yet?,Alexi Laiho,['Distortion Guitar'],Intermediate,3/8
Estas Tonne,The Song Of The Golden Dragon,Estas Tonné,['Acoustic Guitar (nylon)'],Intermediate,5/8
AC/DC,Hells Bells,Angus Young,['Distortion Guitar'],Intermediate,4/8
Mayhem,Freezing Moon,Euronymous,['Distortion Guitar'],Intermediate,3/8
Foo Fighters,Everlong,nan,"['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Intermediate,3/8
Guns N' Roses,November Rain,Slash (Lead),['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Paradise City,Slash,['Distortion Guitar'],Intermediate,5/8
Avenged Sevenfold,Buried Alive,nan,"['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",Intermediate,4/8
Metallica,Ride The Lightning,Kirk Hammett,['Distortion Guitar'],Intermediate,3/8
Alan Walker,Faded Fingerstyle,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Johann Sebastian Bach,Bouree,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8
Lynyrd Skynyrd,Free Bird,nan,"['Distortion Guitar', 'Allen Collins (Lead Guitar-Right Stereo)']",Advanced,6/8
Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
Gojira,Silvera,nan,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",Intermediate,4/8
Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8
Joe Hisaishi,Spirited Away Ost - One Summer's Day,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Blue Oyster Cult,Don't Fear The Reaper,nan,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
Plain White T's,Hey There Delilah,nan,['Acoustic Guitar (steel)'],Beginner,2/8
Led Zeppelin,Whole Lotta Love,nan,"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",Intermediate,3/8
Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8
Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8
Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Yann Tiersen,La Valse D'amélie,Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8
Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8
Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8
The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8
Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8
Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8
Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Jaskier,Toss A Coin To Your Witcher,nan,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8
The White Stripes,Seven Nation Army Edit,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
Avenged Sevenfold,Nightmare,Lead,['Distortion Guitar'],Intermediate,3/8
Bon Jovi,You Give Love A Bad Name,nan,['Distortion Guitar'],Beginner,2/8
The Rolling Stones,Angie,nan,['Acoustic Guitar (steel)'],Beginner,2/8
John Petrucci,Glasgow Kiss,nan,"['Distortion Guitar', 'Lead Guitar']",Advanced,6/8
The Rolling Stones,Paint It Black,Keith Richards,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
