Band,Song,Player,Technique,Difficulty,Score,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,AVAILABLE_MARKETS,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist
Isaac Albéniz,Asturias,['Ýz 1'],['Acoustic Guitar (nylon)'],Intermediate,5/8,2u6GTNZF07O4mmFg8CZozY,36,1981,https://open.spotify.com/album/5lY62FNmxjms4v3OMTGFWl,https://p.scdn.co/mp3-preview/5e9af1c3d16503e3c7979cf6f0d44dd3575c64e3?cid=f9d64942f5f74f3282916225d2f77630,nan,0.32,0.171,-20.784,0.0594,0.967,0.884,0.104,0.217,112.092,372733,,,,
AC/DC,Back In Black,['Angus Young'],['Distortion Guitar'],Intermediate,3/8,08mG3Y1vljYA6bvDt4Wqkj,84,1980,https://open.spotify.com/album/6mUdeDZCsExyJLMdAfDuwh,https://p.scdn.co/mp3-preview/41f8586f16bc642b45122e52041143789a8e00c0?cid=f9d64942f5f74f3282916225d2f77630,nan,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,"['BrianJohnson', 'BonScott(1946-1980)']",['CliffWilliams'],"['PhilRudd', 'ChrisSlade', 'SimonWright']",[]
Pachelbel,Canon in D Major,,['Acoustic Guitar (nylon)'],Intermediate,4/8,1Mse9NKBbEASi50CQ4aYhr,56,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,nan,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,
Led Zeppelin,"Babe, I'm Gonna Leave You",['Jimmy Page'],['Acoustic Guitar (steel)'],Beginner,2/8,4OMu5a8sFpcRCPCcsoEaov,61,1969,https://open.spotify.com/album/3ycjBixZf7S3WpC5WZhhUK,https://p.scdn.co/mp3-preview/e68e42946f936dc79065e8fe0a18636280476794?cid=f9d64942f5f74f3282916225d2f77630,nan,0.404,0.435,-12.045,0.0323,0.246,0.00074,0.156,0.156,136.058,401067,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[]
Jimi Hendrix,Little Wing,['Jimi Hendrix'],['Electric Guitar (jazz) 1'],Intermediate,5/8,1Eolhana7nKHYpcYpdVcT5,70,1967,https://open.spotify.com/album/3uFZf8rykoHo7XMIQVYW6r,https://p.scdn.co/mp3-preview/91c9fa6268ba55f5cb58201131ce06888eec4f51?cid=f9d64942f5f74f3282916225d2f77630,nan,0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,,,,
Pink Floyd,Shine On You Crazy Diamond,['David Gilmour'],['Overdriven Guitar'],Beginner,2/8,6pnwfWyaWjQiHCKTiZLItr,66,1975,https://open.spotify.com/album/0bCAjiUamIFqKJsekOYuRw,https://p.scdn.co/mp3-preview/fdc4738cec1421f40ed85d12010b620230b347f4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.264,0.294,-11.941,0.028,0.772,0.686,0.107,0.0402,137.937,811077,"['RogerWaters', 'SydBarrett(1946-2006)']",['NickMason'],['RichardWright(1943-2008)'],[]
Kansas,Dust In The Wind,"['SteveMorse', 'KerryLivgren']","['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8,6zeE5tKyr8Nu882DQhhSQI,77,1977,https://open.spotify.com/album/6oU298pdPTCQnMx1PYwyUA,https://p.scdn.co/mp3-preview/49d04d4985d8a74c979808d5fc64500611e96ae4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,['SteveWalsh'],"['BillyGreer', 'DaveHope']",['PhilEhart'],[]
Francisco Tarrega,Capricho Arabe,,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8,19LnUKbcwoy6pHm0PshRwT,43,2011,https://open.spotify.com/album/7I5Yne18UUq4T533rLOQIR,https://p.scdn.co/mp3-preview/6d63db2083ae234bd25e53afddfddee1eb3a62c4?cid=f9d64942f5f74f3282916225d2f77630,nan,0.384,0.0312,-27.672,0.0593,0.992,0.926,0.0805,0.179,101.876,368893,,,,
Pachelbel,Canon In C,,['Acoustic Guitar (nylon)'],Beginner,1/8,1Mse9NKBbEASi50CQ4aYhr,56,1986,https://open.spotify.com/album/5YCuibCDJrkVcS3UOAYqr9,https://p.scdn.co/mp3-preview/eaec965ecde7c7b9f51b63ed956491e4202ea407?cid=f9d64942f5f74f3282916225d2f77630,nan,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,
Van Halen,Panama,['Edward Van Halen'],['Distortion Guitar'],Intermediate,4/8,05RgAMGypEvqhNs5hPCbMS,73,1984,https://open.spotify.com/album/3REUXdj5OPKhuDTrTtCBU0,https://p.scdn.co/mp3-preview/1c64b276e2c9eba46fb0b6c36898b46692e336b9?cid=f9d64942f5f74f3282916225d2f77630,nan,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[]
Metallica,Nothing Else Matters,['KirkHammett'],"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8,2CtemffYhT0DJWcT1XW047,71,1991,https://open.spotify.com/album/55fq75UfkYbGMq4CncCtOH,https://p.scdn.co/mp3-preview/27f75df2e12c0811c4e0d544e994c8dd58a4af81?cid=f9d64942f5f74f3282916225d2f77630,nan,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[]
Dire Straits,Sultans Of Swing,['Mark Knopfler'],"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8,6cr6UDpkjEaMQ80OjWqEBQ,67,1978,https://open.spotify.com/album/4dKdxly4ji1vfl7sEYuqBe,https://p.scdn.co/mp3-preview/adaf79aa57a8ce9b906f6f5ff3a99382301022a5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,['ChrisWhite'],['JohnIllsley'],['PickWithers'],['GuyFletcher']
Metallica,Orion,['KirkHammett'],"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8,4xyWJM4kscTROV2RESdwpd,55,1986,https://open.spotify.com/album/7CGhx630DIjdJqaBDVKc5j,https://p.scdn.co/mp3-preview/235cc7cee32efb98d4257bdf89b9834c71759705?cid=f9d64942f5f74f3282916225d2f77630,nan,0.367,0.672,-10.014,0.0378,0.0013,0.899,0.111,0.382,128.497,507227,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[]
Red Hot Chili Peppers,Scar Tissue,['John Frusciante'],['Electric Guitar (clean)'],Intermediate,3/8,1G391cbiT3v3Cywg8T7DM1,79,1999,https://open.spotify.com/album/2Y9IRtehByVkegoD7TcLfi,https://p.scdn.co/mp3-preview/505082fa90f314d9198348d5496251ed17d333c5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[]
Linkin Park,Numb,['ChesterBennington(1976-2017)'],"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8,2nLtzopw4rPReszdYBJU6h,82,2003,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3,https://p.scdn.co/mp3-preview/48dac3dd8990fbd832a4d138f9e871b85b77dd51?cid=f9d64942f5f74f3282916225d2f77630,nan,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,['JoeHahn'],"['MikeShinoda', 'BradDelson']",['DavidFarrell'],['RobBourdon']
Ozzy Osbourne,Crazy Train,,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8,7ACxUo21jtTHzy7ZEV56vU,78,2020,https://open.spotify.com/album/4qUMByJ3Pk94BFnCmGaUPS,https://p.scdn.co/mp3-preview/c3b4fea2b6c7c40bd86ff3da791db247bd81aed5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,,,,
Van Halen,Eruption,"['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']","['Distortion Guitar', 'Guitar Effects']",Advanced,7/8,2tAeN2TKlQLOoSPXtARzBV,64,1978,https://open.spotify.com/album/7DdEbYFPKTZ8KB4z6L4UnQ,https://p.scdn.co/mp3-preview/ba9fea324dd12b3ad7a7aa668726428082f20824?cid=f9d64942f5f74f3282916225d2f77630,nan,0.225,0.689,-9.12,0.0555,0.469,0.813,0.337,0.5,93.798,102080,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[]
Led Zeppelin,Stairway To Heaven,['Jimmy Page'],['Overdriven Guitar'],Intermediate,5/8,5CQ30WqJwcep0pYcV4AMNc,79,1971,https://open.spotify.com/album/44Ig8dzqOkvkGDzaUof9lK,https://p.scdn.co/mp3-preview/fc80a280376d5142c888475bd8fdcd00b4fc8d7d?cid=f9d64942f5f74f3282916225d2f77630,nan,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[]
Black Sabbath,Iron Man,['Tony Iommi'],"['Guitar', 'Distortion Guitar']",Intermediate,3/8,3IOQZRcEkplCXg6LofKqE9,67,1970,https://open.spotify.com/album/6r7LZXAVueS5DqdrvXJJK7,https://p.scdn.co/mp3-preview/f7e8d9754673e3cbe84711eed3a710a4fccfc520?cid=f9d64942f5f74f3282916225d2f77630,nan,0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['GeezerButler'],['BillWard'],[]
Dick Dale,Misirlou,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8,3OnCnEWgy79xR5pr2kv4TX,56,1960,https://open.spotify.com/album/7bGmjO5Cthm1SNOwUhLwKE,https://p.scdn.co/mp3-preview/be83afacc07eb9b9b2b6fa7a578d826b9deedd7c?cid=f9d64942f5f74f3282916225d2f77630,nan,0.293,0.932,-6.839,0.051,0.0136,0.906,0.289,0.657,173.262,135973,,,,
Ed Sheeran,I See Fire,,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8,1fu5IQSRgPxJL2OTP7FVLW,60,2013,https://open.spotify.com/album/6KX0qrnnPlmBrI2BEXJV9Q,https://p.scdn.co/mp3-preview/d28cc8233cbb2646749d3ebc536e5ed205c1a296?cid=f9d64942f5f74f3282916225d2f77630,nan,0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,300747,,,,
