,Singer,Guitarist,Bassist,Drummer,Pianist
AC/DC,"['BrianJohnson', 'BonScott(1946-1980)']","['AngusYoung', 'MalcolmYoung(1953-2017)', 'MarkEvans']",['CliffWilliams'],"['PhilRudd', 'ChrisSlade', 'SimonWright']",
Led Zeppelin,['RobertPlant'],['JimmyPage'],['JohnPaulJones'],['JohnBonham(1948-1980)'],
Kansas,['SteveWalsh'],"['SteveMorse', 'KerryLivgren']","['BillyGreer', 'DaveHope']",['PhilEhart'],
Van Halen,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']","['EddieVanHalen(1955-2020)', 'WolfgangVanHalen']",['MichaelAnthony'],['AlexVanHalen'],
Dire Straits,['ChrisWhite'],"['MarkKnopfler', 'DavidKnopfler']",['JohnIllsley'],['PickWithers'],['GuyFletcher']
Metallica,"['JamesHetfield', 'DaveMustaine']",['KirkHammett'],"['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],
Red Hot Chili Peppers,['AnthonyKiedis'],"['DaveNavarro', 'JohnFrusciante', 'JoshKlinghoffer', 'HillelSlovak(1962-1988)']",['Flea'],"['ChadSmith', 'JackIrons']",
Black Sabbath,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['TonyIommi'],['GeezerButler'],['BillWard'],
Muse,['MatthewBellamy'],['ChristopherWolstenholme'],['DominicHoward'],,
Slipknot,['SidWilson'],"['CoreyTaylor', 'AndersColsefni']","['JimRoot', 'MickThomson']","['PaulGray(1972-2010)', 'AlessandroVenturella']","['JoeyJordison(1975-2021)', 'JayWeinberg', 'ShawnCrahan', 'ChrisFehn']"
Mayhem,"['PerOhlin(1969-1991)', 'AttilaCsihar']","['VargVikernes', 'MortenBergetonIversen']",['Necrobutcher'],,
Foo Fighters,['DaveGrohl'],"['PatSmear', 'ChrisShiflett', 'NateMendel', 'FranzStahl']","['TaylorHawkins(1972-2022)', 'WilliamGoldsmith']",,
Avenged Sevenfold,['MattShadows'],"['SynysterGates', 'ZackyVengeance']",['JohnnyChrist'],"['JamesOwenSullivan(1981-2009)', 'MikePortnoy', 'BrooksWackerman', 'ArinIlejay']",
Judas Priest,['RobHalford'],"['KKDowning', 'GlennTipton', 'RichieFaulkner']",['IanHill'],"['ScottTravis', 'SimonPhillips', 'DaveHolland(1946-2018)', 'LesBinks']",
Bullet For My Valentine,['MatthewTuck'],['MichaelPaget'],['JasonJames'],['MichaelThomas'],
Blue Oyster Cult,"['AllenLanier(1946-2013)', 'KasimSulton']","['EricBloom', 'BuckDharma']","['RudySarzo', 'JoeBouchard']","['NealSmith', 'ThommyPrice', 'AlbertBouchard', 'ChuckBurgi']",
Pantera,"['PhilAnselmo', 'TerryLeeGlaze']",['DimebagDarrell(1966-2004)'],['RexBrown'],['VinniePaul(1964-2018)'],
Disturbed,['DavidDraiman'],['DanDonegan'],"['JohnMoyer', 'SteveKmak']",['MikeWengren'],
Alice in Chains,"['LayneStaley(1967-2002)', 'WilliamDuvall']",['JerryCantrell'],"['MikeStarr(1966-2011)', 'MikeInez']",['SeanKinney'],
Lamb Of God,['RandyBlythe'],['MarkMorton'],['ChrisAdler'],,
Skillet,['JohnCooper'],"['KoreyCooper', 'SethMorrison', 'BenKasica']","['JenLedger', 'LoriPeters']",,
Aerosmith,['StevenTyler'],"['JoePerry', 'BradWhitford']",['TomHamilton'],['JoeyKramer'],
Tool,['MaynardJamesKeenan'],['AdamJones'],['JustinChancellor'],['DannyCarey'],
Iron Maiden,"['BruceDickinson', 'BayleyCooke']","['AdrianSmith', 'DaveMurray', 'JanickGers']",['SteveHarris'],['NickoMcBrain'],
Pearl Jam,['EddieVedder'],"['MikeMcCready', 'StoneGossard']",['JeffAment'],"['MattCameron', 'DaveAbbruzzese']",
Dream Theater,['JamesLabrie'],['JohnPetrucci'],['JohnMyung'],"['MikePortnoy', 'MikeMangini']",['JordanRudess']
Radiohead,['ThomYorke'],"['JonnyGreenwood', ""EdO'brien""]",['ColinGreenwood'],['PhilSelway'],
Tenacious D,['JackBlack'],['KyleGass'],,,
Alice Cooper,['AliceCooper'],"['BobKulick(1950-2020)', 'AlPitrelli', 'GlenBuxton(1947-1997)', 'MichaelBruce']",['DennisDunaway'],['NealSmith'],
Journey,"['StevePerry', 'ArnelPineda', 'JonathanCain']",['NealSchon'],['RossValory'],['SteveSmith'],
Scorpions,['KlausMeine'],"['MatthiasJabs', 'RudolphSchenker']",['PawelMaciwoda'],['MikkeyDee'],
Pixies,"['BlackFrancis', 'KimShattuck(1963-2019)']",['JoeySantiago'],"['KimDeal', 'PazLenchantin']",,
Rage Against The Machine,['ZackdelaRocha'],['TomMorello'],['TimCommerford'],['BradWilk'],
Green Day,['BillieJoeArmstrong'],"['JasonWhite', 'JeffMatika']",['MikeDirnt'],"['TreCool', 'JohnKiffmeyer']",
Stone Temple Pilots,"['ChesterBennington(1976-2017)', 'ScottWeiland(1967-2015)']",['DeanDeleo'],['RobertDeleo'],['EricKretz'],
Toto,"['JosephWilliams', 'StevePorcaro', 'DavidPaich']",['BobbyKimball'],['SteveLukather'],['MikePorcaro(1955-2015)'],"['JeffPorcaro(1954-1992)', 'SimonPhillips']"
Motley Crue,['VinceNeil'],['MickMars'],['NikkiSixx'],['TommyLee'],
Sabaton,['JoakimBroden'],"['TommyJohansson', 'ChrisRorland', 'ThobbeEnglund']",['ParSundstrom'],['HannesVanDahl'],
Three Days Grace,"['AdamGontier', 'MattWalst']",['BarryStock'],['BradWalst'],['NeilSanderson'],
ZZ Top,['BillyGibbons'],['DustyHill(1949-2021)'],['FrankBeard'],,
Arctic Monkeys,['AlexTurner'],['JamieCook'],"[""NickO'Malley""]",['MattHelders'],
Oasis,['LiamGallagher'],"['NoelGallagher', 'PaulArthurs']",['PaulMcGuigan'],['TonyMcCarroll'],
My Chemical Romance,"['GerardWay', 'JamesDewees']","['FrankIero', 'RayToro']",['MikeyWay'],"['BobBryar', 'MattPelissier']",
