Band,Song,Guitarist,Technique,Difficulty,Score,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Energy_Mean_Drums_N,Energy_Mean_Piano_N,Energy_Mean_Bass_N,Energy_std_Drums_N,Energy_std_Piano_N,Energy_std_Bass_N,BPM_Mean_Drums_N,BPM_Mean_Piano_N,BPM_Mean_Bass_N,BPM_std_Drums_N,BPM_std_Piano_N,BPM_std_Bass_N,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Combine_Energy_BPM_Drums,Combine_Energy_BPM_Piano,Combine_Energy_BPM_Bass,Difficulty_Level_Drums,Difficulty_Level_Piano,Difficulty_Level_Bass,Quantity_Relevance_Drums,Quantity_Relevance_Bass,Quantity_Relevance_Piano,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Pachelbel,Canon in D Major,,['Acoustic Guitar (nylon)'],Intermediate,4/8,56,1986,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,,7.937635696568179e-06,0.0012281519376794,0.0074561128486651,4.569608436927504e-07,0.000383478207028,0.0055141028144094,0.3680276537574007,0.4967422022672813,0.5893660192641936,0.7048605452625231,0.3785267335070242,0.2139140005496857,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,6.013360376188014e-05,0.0564857033989782,0.0093041813460562,0.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Led Zeppelin,"Babe, I'm Gonna Leave You",['Jimmy Page'],['Acoustic Guitar (steel)'],Beginner,2/8,61,1969,0.404,0.435,-12.045,0.0323,0.246,0.00074,0.156,0.156,136.058,401067,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],0.0657776742772688,0.004238466106715,0.0354722675503062,0.0674665433857209,0.0009108419586091,0.0103561378940246,0.687360987503778,0.5475437983774364,0.577228763551121,0.0445213451107763,0.4128904260138016,0.1836970730921542,Low,Low,Low,High,Medium,Medium,Low-High,Low-Medium,Low-Medium,Advanced,Intermidiate,Intermidiate,0.1512130443155605,0.0815454426443822,0.009743600245322,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Jimi Hendrix,Little Wing,['Jimi Hendrix'],['Electric Guitar (jazz) 1'],Intermediate,5/8,70,1967,0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,,,,,0.1310990795722748,0.0009607103934508,0.2295850860282876,0.0748878909017687,0.0001176736137117,0.0935567452373851,0.6435647840086486,0.3584333747069801,0.5803747622097567,0.3682703440646137,0.5536233291960481,0.2657899368385125,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.2455038943301027,0.4299346180305011,0.001799083133803,2.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Pink Floyd,Shine On You Crazy Diamond,['David Gilmour'],['Overdriven Guitar'],Beginner,2/8,66,1975,0.264,0.294,-11.941,0.028,0.772,0.686,0.107,0.0402,137.937,811077,"['RogerWaters', 'SydBarrett(1946-2006)']",['NickMason'],['RichardWright(1943-2008)'],[],0.1474090545297942,0.0340715381264077,0.0616380301536219,0.0578578555104237,0.0083808204912481,0.0272617692698863,0.568230382653006,0.4749795268282202,0.6056369180560088,0.2888149008748694,0.4799710205845141,0.2115159067306855,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.5013913419380756,0.2096531637878298,0.1158895854639718,5.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Kansas,Dust In The Wind,"['SteveMorse', 'KerryLivgren']","['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8,77,1977,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,['SteveWalsh'],"['BillyGreer', 'DaveHope']",['PhilEhart'],[],2.6433287515689384e-06,8.511286550969734e-06,5.607810036631359e-08,1.8813083625505945e-07,5.40980285870839e-07,2.3834213798869488e-09,0.5165297845121554,0.421450244956351,0.7366510078970195,0.5593594545963978,0.3475467807782529,0.5709273508732111,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,8.209095501766889e-06,1.7415559119973165e-07,2.643256692847744e-05,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Francisco Tarrega,Capricho Arabe,,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8,43,2011,0.384,0.0312,-27.672,0.0593,0.992,0.926,0.0805,0.179,101.876,368893,,,,,3.980467729358537e-06,0.0041814308298081,0.0002079721284509,4.423232113730106e-07,0.000803407082003,6.445689088652862e-06,0.5713372645957645,0.5086560244975553,0.5516108954228482,0.2293913313104774,0.2445935457538087,0.4736864668686159,Low,Low,Low,Medium,Medium,Medium,Low-Medium,Low-Medium,Low-Medium,Intermidiate,Intermidiate,Intermidiate,0.0001275790938896,0.0066657733477882,0.1340202189041058,0.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Pachelbel,Canon In C,,['Acoustic Guitar (nylon)'],Beginner,1/8,56,1986,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,,7.853168511135847e-06,0.001539111400476,0.0065677680091483,4.378691817384536e-07,0.0002060420520952,0.0067518939305731,0.3336821769300926,0.3817595503251053,0.7116167585437598,0.6967290940281764,0.4353400977153605,0.2649129146294405,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,5.949370084193824e-05,0.0497558182511235,0.0116599348520912,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Van Halen,Panama,['Edward Van Halen'],['Distortion Guitar'],Intermediate,4/8,73,1984,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],0.1947435669138767,1.2415393374281913e-07,0.1033806254941351,0.1213843528278069,5.60264171109718e-09,0.1181143314351402,0.6249987206214641,0.6078284018348054,0.7291313264323824,0.3027261649652673,0.2896685831860785,0.0918694069326245,Low,Low,Low,Medium,Medium,High,Low-Medium,Low-Medium,Low-High,Intermidiate,Intermidiate,Advanced,0.1991243015479312,0.105706161036948,1.2694676251821996e-07,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Metallica,Nothing Else Matters,['KirkHammett'],"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8,71,1991,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],0.116188529036147,0.0014458911043221,0.0606112437608978,0.0557282809739104,0.000455103584233,0.0670768124829199,0.3268390741907989,0.7297207449793753,0.5853059722959045,0.6404790122876279,0.5011931677520537,0.1423937372299829,Low,Low,Low,Low,High,Medium,Low-Low,Low-High,Low-Medium,Beginner,Advanced,Intermidiate,0.294894743746566,0.1538356440631925,0.0036697743764522,3.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Dire Straits,Sultans Of Swing,['Mark Knopfler'],"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8,67,1978,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,['ChrisWhite'],['JohnIllsley'],['PickWithers'],['GuyFletcher'],0.3666370648434343,0.0248407176041906,0.2213444698192965,0.1705907522443469,0.0047520308257542,0.1546478180535976,0.6339374958871679,0.5104477954955102,0.1304733466282508,0.3937026401611037,0.4226671709878288,0.1281762026844179,Medium,Low,Low,Medium,Medium,Low,Medium-Medium,Low-Medium,Low-Low,Intermidiate,Intermidiate,Beginner,0.4223929318472745,0.2550051495614015,0.0286183382536759,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Metallica,Orion,['KirkHammett'],"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8,55,1986,0.367,0.672,-10.014,0.0378,0.0013,0.899,0.111,0.382,128.497,507227,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],0.2048605177843052,1.1085838432690529e-07,0.055158068050982,0.1124264803163177,1.0502216730342624e-08,0.0305696225506124,0.5537525284202501,0.7397183873998001,0.505015097716628,0.0330673855804319,0.8487851597312613,0.1212561756661907,Low,Low,Low,Medium,High,Medium,Low-Medium,Low-High,Low-Medium,Intermidiate,Advanced,Intermidiate,0.3048519609885494,0.0820804584091995,1.6496783381979954e-07,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
