Band,Song,Guitarist,Technique,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Pachelbel,Canon in D Major,,['Acoustic Guitar (nylon)'],56,1986,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Led Zeppelin,"Babe, I'm Gonna Leave You",['Jimmy Page'],['Acoustic Guitar (steel)'],61,1969,0.404,0.435,-12.045,0.0323,0.246,0.00074,0.156,0.156,136.058,401067,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],Low,Low,Low,High,Medium,Medium,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Jimi Hendrix,Little Wing,['Jimi Hendrix'],['Electric Guitar (jazz) 1'],70,1967,0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,145747,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Pink Floyd,Shine On You Crazy Diamond,['David Gilmour'],['Overdriven Guitar'],66,1975,0.264,0.294,-11.941,0.028,0.772,0.686,0.107,0.0402,137.937,811077,"['RogerWaters', 'SydBarrett(1946-2006)']",['NickMason'],['RichardWright(1943-2008)'],[],Low,Low,Low,Medium,Medium,Medium,5.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Kansas,Dust In The Wind,"['SteveMorse', 'KerryLivgren']","['Acoustic Guitar (nylon)', 'Guitar 1']",77,1977,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,['SteveWalsh'],"['BillyGreer', 'DaveHope']",['PhilEhart'],[],Low,Low,Low,Medium,Medium,High,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Francisco Tarrega,Capricho Arabe,,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",43,2011,0.384,0.0312,-27.672,0.0593,0.992,0.926,0.0805,0.179,101.876,368893,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Pachelbel,Canon In C,,['Acoustic Guitar (nylon)'],56,1986,0.128,0.132,-17.67,0.0353,0.744,0.942,0.107,0.0988,85.314,301587,,,,,Low,Low,Low,Medium,Medium,High,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Van Halen,Panama,['Edward Van Halen'],['Distortion Guitar'],73,1984,0.526,0.978,-5.436,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,"['DavidLeeRoth', 'SammyHagar', 'GaryCherone']",['MichaelAnthony'],['AlexVanHalen'],[],Low,Low,Low,Medium,Medium,High,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Metallica,Nothing Else Matters,['KirkHammett'],"['Acoustic Guitar (steel)', 'Guitar 1']",71,1991,0.547,0.394,-9.793,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Low,High,Medium,3.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Dire Straits,Sultans Of Swing,['Mark Knopfler'],"['Lead Guitar', 'Electric Guitar (clean)']",67,1978,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,['ChrisWhite'],['JohnIllsley'],['PickWithers'],['GuyFletcher'],Medium,Low,Low,Medium,Medium,Low,4.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Metallica,Orion,['KirkHammett'],"['Lead Guitar', 'Distortion Guitar']",55,1986,0.367,0.672,-10.014,0.0378,0.0013,0.899,0.111,0.382,128.497,507227,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Medium,High,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Red Hot Chili Peppers,Scar Tissue,['John Frusciante'],['Electric Guitar (clean)'],79,1999,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,['AnthonyKiedis'],['Flea'],"['ChadSmith', 'JackIrons']",[],Low,Low,Low,Low,Medium,Medium,2.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Linkin Park,Numb,['ChesterBennington(1976-2017)'],"['Acoustic Guitar (nylon)', 'Nylon Guitar']",82,2003,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,['JoeHahn'],"['MikeShinoda', 'BradDelson']",['DavidFarrell'],['RobBourdon'],Low,Low,Low,Medium,Medium,Medium,3.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ozzy Osbourne,Crazy Train,,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",78,2020,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,293183,,,,,Low,Low,Low,Medium,Medium,High,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
